PERIODO,GENERO,ALTURA,NUM_CALCADO
Noturno,F,1.70,40
Noturno,F,1.62,37
Noturno,M,1.81,41
Noturno,F,1.65,36
Noturno,F,1.61,39
Noturno,F,1.63,36
Noturno,F,1.58,38
Noturno,M,1.81,41
Noturno,F,1.62,35
Noturno,M,1.75,42
Noturno,M,1.74,42
Noturno,F,1.76,38
Noturno,F,1.74,40
Noturno,M,1.73,43
Noturno,F,1.56,36
Noturno,F,1.63,37
Noturno,M,1.86,42
Noturno,M,1.75,41
Noturno,F,1.75,40
Noturno,F,1.63,37
Noturno,M,1.70,39
Noturno,F,1.65,36
Noturno,M,1.75,40
Noturno,F,1.63,37
Noturno,M,1.70,40
Noturno,F,1.60,37
Noturno,M,1.82,42
Noturno,M,1.80,42
Noturno,M,1.73,41
Noturno,F,1.68,36
Noturno,F,1.64,37
Noturno,F,1.59,36
Noturno,F,1.59,34
Noturno,F,1.63,37
Noturno,M,1.65,40
Noturno,F,1.65,37
Noturno,F,1.60,37
Noturno,M,1.81,43
Noturno,F,1.57,36
Noturno,F,1.73,39
Noturno,F,1.61,36
Noturno,F,1.57,35
Vespertino,M,1.81,41
Vespertino,F,1.60,35
Vespertino,F,1.55,34
Vespertino,F,1.64,37
Vespertino,F,1.70,37
Vespertino,F,1.62,37
Vespertino,M,1.75,41
Vespertino,F,1.60,37
Vespertino,F,1.68,37
Vespertino,F,1.63,36
Vespertino,F,1.64,37
Vespertino,M,1.87,43
Vespertino,M,1.75,40
Vespertino,F,1.57,36
Vespertino,F,1.63,36
Vespertino,M,1.80,42
Vespertino,F,1.56,37
Vespertino,M,1.69,39
Vespertino,M,1.75,41
Vespertino,M,1.78,41
Vespertino,F,1.61,36
Vespertino,F,1.64,36
Vespertino,F,1.63,38
Vespertino,F,1.65,39
Vespertino,F,1.64,37
Vespertino,M,1.78,42
Vespertino,M,1.73,40
Vespertino,F,1.68,37
Vespertino,F,1.68,36
Vespertino,M,1.74,44
Vespertino,M,1.75,41
Vespertino,F,1.50,35
Vespertino,F,1.64,38
Vespertino,M,1.82,40
Vespertino,M,1.69,41
Vespertino,F,1.56,35
Vespertino,F,1.85,43
Vespertino,F,1.63,35
Vespertino,M,1.78,41
Vespertino,F,1.63,39
Vespertino,F,1.60,36
Vespertino,F,1.65,35
Vespertino,F,1.63,35
Vespertino,M,1.78,40
Vespertino,M,1.78,40
Vespertino,F,1.69,38
Vespertino,F,1.70,40
Vespertino,F,1.77,38
Vespertino,F,1.73,39
Vespertino,M,1.85,43
Vespertino,M,1.87,43
Vespertino,M,1.75,43
Vespertino,M,1.74,40
Vespertino,M,1.56,36
Vespertino,M,1.72,43
Vespertino,M,1.68,40
Vespertino,M,1.83,44
Vespertino,F,1.60,35
Vespertino,F,1.67,39
Vespertino,F,1.65,37
Vespertino,F,1.70,38
Vespertino,F,1.50,34
Vespertino,M,1.69,37
Vespertino,F,1.72,38
Vespertino,M,1.79,42
Vespertino,M,1.70,41
Vespertino,M,1.75,42
Vespertino,M,1.78,44
