ano,altura,calcado
2022,170,40
2022,162,37
2022,181,41
2022,165,36
2022,161,39
2022,163,36
2022,158,38
2022,181,41
2022,162,35
2022,175,42
2022,174,42
2022,176,38
2022,174,40
2022,173,43
2022,156,36
2022,163,37
2022,186,42
2022,175,41
2022,175,40
2022,163,37
2022,170,39
2022,165,36
2022,175,40
2022,163,37
2022,170,40
2022,160,37
2022,182,42
2022,180,42
2022,173,41
2022,168,36
2022,164,37
2022,159,36
2022,159,34
2022,163,37
2022,165,40
2022,165,37
2022,160,37
2022,181,43
2022,157,36
2022,173,39
2022,161,36
2022,157,35
2022,181,41
2022,160,35
2022,155,34
2022,164,37
2022,170,37
2022,162,37
2022,175,41
2022,160,37
2022,168,37
2022,163,36
2022,164,37
2022,187,43
2022,175,40
2022,157,36
2022,163,36
2022,180,42
2022,156,37
2022,169,39
2022,175,41
2022,178,41
2022,161,36
2022,164,36
2022,163,38
2022,165,39
2022,164,37
2022,178,42
2022,173,40
2022,168,37
2022,168,36
2022,174,44
2022,175,41
2022,150,35
2022,164,38
2022,182,40
2022,169,41
2022,156,35
2022,185,43
2022,163,35
2022,178,41
2022,163,39
2022,160,36
2022,165,35
2022,163,35
2022,178,40
2022,178,40
2022,169,38
2022,170,40
2022,177,38
2022,173,39
2022,185,43
2022,187,43
2022,175,43
2022,174,40
2022,156,36
2022,172,43
2022,168,40
2022,183,44
2022,160,35
2022,167,39
2022,165,37
2022,170,38
2022,150,34
2022,169,37
2022,172,38
2022,179,42
2022,170,41
2022,175,42
2022,178,44
2024,152,33
2024,183,44
2024,174,41
2024,178,44
2024,160,37
2024,169,38
2024,180,41
2024,157,37
2024,163,38
2024,165,36
2024,165,36
2024,165,39
2024,159,37
2024,185,42
2024,170,38
2024,173,42
2024,160,36
2024,163,36
2024,168,37
2024,157,35
2024,176,40
2024,154,36
2024,164,35
2024,167,36
2024,160,35
2024,163,37
2024,177,37
2024,165,36
2024,166,38
2024,160,36
2024,157,35
2024,164,37
2024,167,37
2024,185,43
2024,170,41
2024,167,37
2024,160,36
2024,166,36
2024,175,42
2024,180,43
2024,160,37
2024,163,37
2024,161,37
2024,180,42
2024,182,42
2024,170,37
2024,193,46
2024,167,38
2024,167,39
2024,157,35
2024,153,34
2024,161,36
2024,165,36
2024,154,35
2024,166,37
2024,187,46
2024,175,37
2024,175,39
2024,170,38
2024,163,40
2024,160,35
2024,173,42
2024,164,35
2024,179,44
2024,155,35
2024,158,36
2024,161,36
2024,175,40
2024,160,37
2024,168,36
2024,159,35
2024,164,36
2024,150,35
2024,170,34
2024,171,40
2024,190,44
2024,170,37
2024,163,36
2024,170,38
2024,170,37
2024,175,40
2024,170,39
2024,157,35
2024,154,36
2024,162,40
2024,160,36
2024,172,42
2024,160,34
2024,170,37
2024,155,37
2024,165,40
2024,184,47
2024,160,36
2024,178,41
2024,156,34
2024,183,44
2024,170,39
2024,180,41
2024,180,39
2024,153,34
2024,180,43
2024,171,40
2024,167,37
2024,167,40
2025,165,38
2025,165,37
2025,182,44
2025,172,38
2025,156,35
2025,167,38
2025,153,36
2025,167,37
2025,162,38
2025,171,41
2025,168,36
2025,178,44
2025,162,37
2025,165,37
2025,153,35
2025,161,36
2025,169,40
2025,169,37
2025,169,37
2025,168,38
2025,164,36
2025,180,39
2025,165,36
2025,160,36
2025,163,37
2025,172,41
2025,156,36
2025,172,40
2025,180,39
2025,171,36
2025,180,42
2025,157,36
2025,175,40
2025,166,37
2025,173,41
2025,160,35
2025,182,42
2025,152,38
2025,175,41
2025,158,38
2025,176,39
2025,166,36
2025,163,37
2025,163,38
2025,167,39
2025,160,38
2025,171,38
2025,178,42
2025,156,34
2025,153,32
2025,158,35
2025,160,37
2025,173,40
2025,160,36
2025,157,35
2025,177,42
2025,176,39
2025,181,43
2025,180,43
2025,145,33
2025,165,41
2025,145,33
2025,160,35
2025,180,44
2025,167,36
2025,174,41
2025,160,40
2025,183,40
2025,170,36
2025,175,40
2025,165,36
2025,154,39
2025,172,42
2025,166,39
2025,175,43
2025,165,39
2025,165,36
2025,166,42
2025,160,36
2025,189,47
2025,170,38
2025,171,40
2025,170,39
2025,169,39
2025,166,38
2025,158,35
2025,173,41
2025,175,43
2025,173,43
2025,173,39
2025,170,40
2025,164,37
2025,172,41
2025,170,37
2025,174,42
2025,156,35
2025,181,42
2025,175,38
2025,180,41
2025,168,38
2025,171,39
2025,155,35
2025,182,39
2025,153,35
2025,167,40
2025,183,46
2025,159,35
2025,160,37
2025,156,35
2025,169,40
2025,165,39
2025,162,37
2025,154,34
2025,169,37
2025,182,42
2025,177,41
2025,159,36
2025,163,36
2025,160,36
2025,184,43
2025,165,36
2025,158,38
2025,167,37
2025,161,37
2025,170,37
2025,163,36
2025,179,40
2025,160,37
2025,165,38
2025,185,43
2025,158,36
2025,192,43
2025,190,45
2025,167,40
2025,154,36
2025,177,43
2025,175,40
2025,168,36
2025,166,38
2025,172,42
