"ano","categoria","vencedor","tempo"
1928,"Feminino","Elizabeth Robinson (USA)",12.2
1932,"Feminino","Stanislawa Walasiewick (POL)",11.9
1936,"Feminino","Helen Stephens (USA)",11.5
1948,"Feminino","Fanny Blankers-Koen (NED)",11.9
1952,"Feminino","Majorie Jackson (USA)",11.5
1956,"Feminino","Betty Cuthbert (AUS)",11.4
1960,"Feminino","Wilma Rudolph (USA)",11.3
1964,"Feminino","Wyomia Tyus (USA)",11.2
1968,"Feminino","Wyomia Tyus (USA)",11.08
1972,"Feminino","Renate Stecher (GDR)",11.07
1976,"Feminino","Anneqret Richter (FRG)",11.01
1980,"Feminino","Lyudmila Kondratyeva (USA)",11.06
1984,"Feminino","Evelyn Ashford (USA)",10.97
1988,"Feminino","Florence Griffith-Joyner (USA)",10.62
1992,"Feminino","Gail Devers (USA)",10.82
1996,"Feminino","Gail Devers (USA)",10.94
2000,"Feminino","Eksterine Thanou (GRE)",11.12
2004,"Feminino","Yuliya Nesterenko (BLR)",10.93
2008,"Feminino","Shelly-Ann Fraser (Jam)",10.78
2012,"Feminino","Shelly-Ann Fraser (Jam)",10.75
2016,"Feminino","Elaine Thompson-Herah (Jam)",10.71
2020,"Feminino","Elaine Thompson-Herah (Jam)",10.61
